id (S),company (S),content (S),createdAt (S),keyword (S),sentiment (S),tweetId (N),user (S),userId (N)
ec1a7f34-f330-41f8-ae70-403522736fc5,GEICO,GEICO_Service GEICO Your commercial where kid asks Dad where babies come from & he asks where Mom is is offensive to good Dads.,negative,GEICO,negative,899647303371243521,JamesDecker555,243005904
cd79f1d1-a1f8-44e6-b83c-1d92a7c7b4bb,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918507028506730496,mumbling_asian,364656173
1e65191c-b652-49f3-8b1e-97a776b8c417,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918505911395680259,tadpole71603,216581080
de30356c-3bb7-451f-999f-233189ee29e0,GEICO,Lucas Oil Pro Motocross Championship Results: GEICO Motorcycle Budds Creek National https://t.co/A0OhR1BLBt,neutral,GEICO,positive,899654885842403330,njmotocross,14738576
603532ce-cf35-4801-969a-4026188eea8e,theHartford,"RT @JermaineWatkins: BOOK 1 OF THE HARTFORD SERIES

A Change of Heart 

❤️ #Author @JermaineWatkins @AmazonKindle @GoodReads #AmWriting htt…",neutral,the Hartford,positive,897933794044387328,germanejermaine,1659276252
a4c1047e-592f-4f75-9566-a199f2ebf3a6,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918511915906760705,yasmeenysweeny,843485398349299712
1fc53443-68f7-481b-a216-cc46b9bbeade,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918515884062330881,chopparue,507604922
889e0dcc-8643-4ee5-8790-87e766576624,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918517090360971266,Daksurr,355409395
1eb27872-8041-4288-aa93-e551d467449d,AIGInsurance,Congrats @michaelobrady @AIGinsurance as a #CIO100 @CIOevents honoree! @NTTDATAServices  #weliveforthisstuff #NTTDCxO https://t.co/1ZF2ZZUbEK,positive,AIG,positive,899677208838643714,AnkicaMarCom,44045696
fe8a65af-6db9-480b-be65-19c761980edd,AIGInsurance,@aigkenham @AiG It's a sign ! #atheism #Eclipse #atheist https://t.co/Uk6Zu69RNV,not,AIG,positive,899692438851399682,Huzee666,763452107039051776
e9823f43-4572-42ad-a4d4-8167d196a2d1,Liberty Mutual,"Want to work at Liberty Mutual Insurance? We're #hiring in #OklahomaCity, OK! Click for details: https://t.co/GMBWDVfPod #Sales",neutral,Liberty Mutual,negative,899688998322360321,tmj_okc_sales,21630000
c9089ef7-9f04-47df-8721-3e108f730df6,GEICO,RT @boodlebrain: I got this e-mail the other day and I thought Geico was trying to scam me with an OW quiz https://t.co/h1nubjorRa,neutral,GEICO,positive,899692936211841024,moontoke,36030612
ae2b56c7-ddcb-4118-b9a4-1bf703aba8c3,GEICO,RT @HeyMissNona: A lot of money on my car insurance by switching to GEICO. https://t.co/fiMnoNKu37,not,GEICO,positive,918510184913305600,bitchimshoook,292970400
30511605-dc48-4fbf-861a-ce3dedb93419,AIGInsurance,.@AIGinsurance restructuring yields formalized tech subsidiary https://t.co/os4GLxt5xm,neutral,AIG,positive,918494332222570496,_diginsurance,44208348
c19ba407-a010-45d6-923b-d3a05b341505,State Farm,"RT @hfhwm: Help us win a $25,000 from @StateFarm! Vote 10x each day until Aug, 25! https://t.co/yxyd77dOYk…",neutral,StateFarm,negative,897946991979671552,KevinDarbyLA,116996726
